,0,
2648 TH Prkcd Grin2c Glut_1,#d60000,
2649 TH Prkcd Grin2c Glut_1,#8c3bff,
1604 RT-ZI Gnb3 Gaba_5,#018700,
2678 TH Prkcd Grin2c Glut_10,#00acc6,
2650 TH Prkcd Grin2c Glut_2,#97ff00,
2663 TH Prkcd Grin2c Glut_6,#ff7ed1,
2683 TH Prkcd Grin2c Glut_13,#e452ff,
2658 TH Prkcd Grin2c Glut_5,#bf03b8,
2687 TH Prkcd Grin2c Glut_13,#573b00,
2664 TH Prkcd Grin2c Glut_6,#005659,
2662 TH Prkcd Grin2c Glut_6,#0000dd,
2698 RE-Xi Nox4 Glut_3,#00fdcf,
2616 AV Col27a1 Glut_1,#a17569,
2660 TH Prkcd Grin2c Glut_6,#bcb6ff,
2615 AV Col27a1 Glut_1,#95b577,
2621 PVT-PT Ntrk1 Glut_2,#9ae4ff,
2723 PF Fzd5 Glut_2,#645474,
2586 MH Tac2 Glut_2,#790000,
2724 PF Fzd5 Glut_2,#0774d8,
1739 ZI Pax6 Gaba_4,#fdf490,
2665 TH Prkcd Grin2c Glut_7,#004b00,
2677 TH Prkcd Grin2c Glut_10,#8e7900,
2651 TH Prkcd Grin2c Glut_3,#ff7266,
2614 AD Serpinb7 Glut_1,#edb8b8,
2674 TH Prkcd Grin2c Glut_9,#5d7e66,
2635 CM-IAD-CL-PCN Sema5b Glut_1,#ffa52f,
2681 TH Prkcd Grin2c Glut_12,#eb0077,
2682 TH Prkcd Grin2c Glut_12,#a57bb8,
1601 RT-ZI Gnb3 Gaba_5,#5900a3,
2624 PVT-PT Ntrk1 Glut_3,#03c600,
2695 RE-Xi Nox4 Glut_2,#9e4b00,
2580 MH Tac2 Glut_1,#9c3b4f,
1603 RT-ZI Gnb3 Gaba_5,#cac300,
2579 MH Tac2 Glut_1,#708297,
1592 RT-ZI Gnb3 Gaba_3,#00af89,
1593 RT-ZI Gnb3 Gaba_3,#8287ff,
2720 PF Fzd5 Glut_2,#5d363b,
1978 LGv-ZI Otx2 Gaba_2,#380000,
2638 CM-IAD-CL-PCN Sema5b Glut_2,#fdbfff,
2696 RE-Xi Nox4 Glut_2,#bde6bf,
1591 RT-ZI Gnb3 Gaba_3,#db6d01,
1740 ZI Pax6 Gaba_4,#93b8b5,
2686 TH Prkcd Grin2c Glut_13,#6b004f,
2629 PVT-PT Ntrk1 Glut_4,#2f5282,
2699 RE-Xi Nox4 Glut_3,#c36690,
2692 RE-Xi Nox4 Glut_1,#54621f,
2613 AD Serpinb7 Glut_1,#c49e72,
2643 CM-IAD-CL-PCN Sema5b Glut_4,#038287,
2585 MH Tac2 Glut_2,#69e680,
2631 PVT-PT Ntrk1 Glut_5,#802690,
3464 SNr Six3 Gaba_1,#6db3ff,
2675 TH Prkcd Grin2c Glut_9,#4d33ff,
2680 TH Prkcd Grin2c Glut_11,#85a301,
2589 MH Tac2 Glut_3,#fd03ca,
2676 TH Prkcd Grin2c Glut_9,#c1a5c4,
2721 PF Fzd5 Glut_2,#c45646,
2625 PVT-PT Ntrk1 Glut_3,#75573d,
2632 PVT-PT Ntrk1 Glut_6,#016742,
2644 CM-IAD-CL-PCN Sema5b Glut_4,#3fa316,
2654 TH Prkcd Grin2c Glut_4,#dadfff,
1715 ZI Pax6 Gaba_1,#f9ff00,
2713 PF Fzd5 Glut_1,#6967af,
2626 PVT-PT Ntrk1 Glut_3,#c39700,
2706 MG-POL-SGN Nts Glut_1,#e1cd9c,
2633 CM-IAD-CL-PCN Sema5b Glut_1,#da95ff,
1602 RT-ZI Gnb3 Gaba_5,#ba03fd,
2672 TH Prkcd Grin2c Glut_8,#915282,
2636 CM-IAD-CL-PCN Sema5b Glut_1,#a00072,
2652 TH Prkcd Grin2c Glut_3,#569a54,
2725 PF Fzd5 Glut_2,#d38c8e,
2657 TH Prkcd Grin2c Glut_5,#364426,
1986 LGv-ZI Otx2 Gaba_5,#97a5c3,
2689 TH Prkcd Grin2c Glut_14,#8e8c5e,
1600 RT-ZI Gnb3 Gaba_5,#ff4600,
2608 LH Pou4f1 Sox1 Glut_3,#c8fff9,
1588 RT-ZI Gnb3 Gaba_2,#ae6dff,
2578 MH Tac2 Glut_1,#6ecfa7,
1766 ZI Pax6 Gaba_8,#bfff8c,
2640 CM-IAD-CL-PCN Sema5b Glut_3,#8c54b1,
2582 MH Tac2 Glut_2,#773618,
2722 PF Fzd5 Glut_2,#ffa079,
2700 RE-Xi Nox4 Glut_3,#a8001f,
2679 TH Prkcd Grin2c Glut_11,#ff1c44,
2655 TH Prkcd Grin2c Glut_5,#5e1123,
2717 PF Fzd5 Glut_1,#679793,
2645 CM-IAD-CL-PCN Sema5b Glut_4,#ff5e93,
2697 RE-Xi Nox4 Glut_2,#4b6774,
2581 MH Tac2 Glut_1,#5291cc,
2590 MH Tac2 Glut_3,#aa7031,
2639 CM-IAD-CL-PCN Sema5b Glut_2,#01cffd,
1582 RT-ZI Gnb3 Gaba_1,#00c36b,
2719 PF Fzd5 Glut_1,#60345d,
2691 RE-Xi Nox4 Glut_1,#90d42f,
2661 TH Prkcd Grin2c Glut_6,#bfd47c,
2688 TH Prkcd Grin2c Glut_14,#5044a1,
2591 MH Tac2 Glut_3,#4d230c,
2634 CM-IAD-CL-PCN Sema5b Glut_1,#7c5900,
2630 PVT-PT Ntrk1 Glut_5,#ffcd44,
2587 MH Tac2 Glut_3,#8201cf,
2637 CM-IAD-CL-PCN Sema5b Glut_2,#4dfdff,
2690 RE-Xi Nox4 Glut_1,#89003d,
2623 PVT-PT Ntrk1 Glut_2,#7b525b,
2619 PVT-PT Ntrk1 Glut_1,#00749c,
2622 PVT-PT Ntrk1 Glut_2,#aa8297,
2599 LH Pou4f1 Sox1 Glut_1,#80708e,
2628 PVT-PT Ntrk1 Glut_4,#6264fd,
2673 TH Prkcd Grin2c Glut_8,#c33489,
1984 LGv-ZI Otx2 Gaba_5,#cd2846,
2668 TH Prkcd Grin2c Glut_8,#ff9ab5,
2642 CM-IAD-CL-PCN Sema5b Glut_3,#c35dba,
2593 MH Tac2 Glut_3,#216701,
2705 MG-POL-SGN Nts Glut_1,#008e64,
1732 ZI Pax6 Gaba_3,#628023,
1581 RT-ZI Gnb3 Gaba_1,#8987bf,
2667 TH Prkcd Grin2c Glut_7,#97ddd4,
2702 RE-Xi Nox4 Glut_3,#cd7e57,
2588 MH Tac2 Glut_3,#d1b65b,
2694 RE-Xi Nox4 Glut_2,#60006e,
2701 RE-Xi Nox4 Glut_3,#995444,
2583 MH Tac2 Glut_2,#afc6db,
2627 PVT-PT Ntrk1 Glut_4,#f2ffd1,
2646 CM-IAD-CL-PCN Sema5b Glut_5,#00eb01,
2584 MH Tac2 Glut_2,#cd85bc,
2653 TH Prkcd Grin2c Glut_4,#4400c4,
2712 PF Fzd5 Glut_1,#799c7e,
2620 PVT-PT Ntrk1 Glut_2,#727046,
1586 RT-ZI Gnb3 Gaba_2,#93ffba,
2710 PF Fzd5 Glut_1,#0054c1,
2983 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut_7,#ac93eb,
2597 MH Tac2 Glut_5,#00d6d4,#3fa316
1777 ZI Pax6 Gaba_9,#5e3a80,
2716 PF Fzd5 Glut_1,#004b33,
3645 LGv-SPFp-SPFm Nkx2-2 Tcf7l2 Gaba_2,#7cb8d3,
3643 LGv-SPFp-SPFm Nkx2-2 Tcf7l2 Gaba_2,#972a00,
2601 LH Pou4f1 Sox1 Glut_2,#386e64,
2596 MH Tac2 Glut_5,#b8005b,
3006 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut_12,#ff803d,
2656 TH Prkcd Grin2c Glut_5,#ffd1e8,
2609 LH Pou4f1 Sox1 Glut_4,#802f59,
2612 LH Pou4f1 Sox1 Glut_4,#213400,
3798 SCsg Gabrr2 Gaba_1,#a15d6e,
1583 RT-ZI Gnb3 Gaba_1,#4fb5af,
2659 TH Prkcd Grin2c Glut_6,#9e9e46,
2598 MH Tac2 Glut_5,#337c3d,
2963 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut_4,#c14100,
2987 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut_7,#c6e83d,
2718 PF Fzd5 Glut_1,#6b05e8,
2966 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut_5,#75bc4f,
2715 PF Fzd5 Glut_1,#a5c4a8,
1749 ZI Pax6 Gaba_5,#da546e,
1580 RT-ZI Gnb3 Gaba_1,#d88e38,
2641 CM-IAD-CL-PCN Sema5b Glut_3,#fb7cff,
3666 LGv-SPFp-SPFm Nkx2-2 Tcf7l2 Gaba_6,#4b6449,
2760 MB-ant-ve Dmrta2 Glut_1,#d6c3eb,
3668 LGv-SPFp-SPFm Nkx2-2 Tcf7l2 Gaba_7,#792d36,
3663 LGv-SPFp-SPFm Nkx2-2 Tcf7l2 Gaba_6,#4b8ea5,
1719 ZI Pax6 Gaba_1,#4687ff,
2671 TH Prkcd Grin2c Glut_8,#a300c3,
2955 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut_3,#e9a3d4,
3640 LGv-SPFp-SPFm Nkx2-2 Tcf7l2 Gaba_1,#ffbc77,
2988 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut_8,#464800,
2592 MH Tac2 Glut_3,#a1c6ff,
2711 PF Fzd5 Glut_1,#90a1e9,
1590 RT-ZI Gnb3 Gaba_2,#4f6993,
2986 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut_7,#e65db1,
1729 ZI Pax6 Gaba_2,#9e90af,
1743 ZI Pax6 Gaba_4,#57502a,
1762 ZI Pax6 Gaba_7,#af5dd4,
1769 ZI Pax6 Gaba_8,#856de1,
2709 MG-POL-SGN Nts Glut_2,#c16e72,
1761 ZI Pax6 Gaba_7,#e400e2,
2669 TH Prkcd Grin2c Glut_8,#b8b68a,
2685 TH Prkcd Grin2c Glut_13,#382d00,
2967 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut_5,#e27ea3,
2984 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut_7,#ac3b2f,
2949 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut_3,#a8ba4b,
1760 ZI Pax6 Gaba_7,#69b582,
2958 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut_4,#93d190,
1764 ZI Pax6 Gaba_7,#af8c46,
2617 PVT-PT Ntrk1 Glut_1,#075e77,
1735 ZI Pax6 Gaba_3,#009789,
2670 TH Prkcd Grin2c Glut_8,#590f01,
1750 ZI Pax6 Gaba_5,#5b7c80,
2693 RE-Xi Nox4 Glut_1,#2f5726,
1598 RT-ZI Gnb3 Gaba_4,#e4643b,
2942 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut_2,#5e3f28,
2707 MG-POL-SGN Nts Glut_2,#7249bc,
2992 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut_8,#4b526b,
3800 SCsg Gabrr2 Gaba_1,#c879dd,
1758 ZI Pax6 Gaba_7,#9c3190,
2985 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut_7,#c8e6f2,
2965 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut_5,#05aaeb,
2991 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut_8,#a76b9a,
2606 LH Pou4f1 Sox1 Glut_3,#e6af00,
1597 RT-ZI Gnb3 Gaba_4,#60ff62,
2921 PRC-PAG Tcf7l2 Irx2 Glut_5,#f2dd00,
1587 RT-ZI Gnb3 Gaba_2,#774401,
1775 ZI Pax6 Gaba_9,#602441,
2956 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut_4,#677eca,
1584 RT-ZI Gnb3 Gaba_1,#799eaf,
1753 ZI Pax6 Gaba_6,#0ce8a1,
3799 SCsg Gabrr2 Gaba_1,#9cf7db,
2600 LH Pou4f1 Sox1 Glut_1,#830075,
2704 MG-POL-SGN Nts Glut_1,#8e6d49,
3642 LGv-SPFp-SPFm Nkx2-2 Tcf7l2 Gaba_2,#e2412f,
2957 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut_4,#b8496b,
2604 LH Pou4f1 Sox1 Glut_2,#794985,
1728 ZI Pax6 Gaba_2,#ffcfb5,
3660 LGv-SPFp-SPFm Nkx2-2 Tcf7l2 Gaba_5,#4b5dc6,
1718 ZI Pax6 Gaba_1,#e2b391,
2684 TH Prkcd Grin2c Glut_13,#ff4bed,
1585 RT-ZI Gnb3 Gaba_1,#d6efa5,
2595 MH Tac2 Glut_4,#bf6026,
1751 ZI Pax6 Gaba_5,#d6a3b5,
2618 PVT-PT Ntrk1 Glut_1,#bc7c00,
1774 ZI Pax6 Gaba_8,#876eb1,
2976 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut_6,#ff2fa1,
3662 LGv-SPFp-SPFm Nkx2-2 Tcf7l2 Gaba_5,#ffe8af,
2605 LH Pou4f1 Sox1 Glut_2,#33574b,
2947 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut_3,#b88c79,
2851 APN C1ql4 Glut_1,#6b8752,
3656 LGv-SPFp-SPFm Nkx2-2 Tcf7l2 Gaba_4,#bc93d1,
2933 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut_1,#1ae6fd,
2973 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut_5,#a13b72,
2953 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut_3,#a350a8,
3797 SCsg Gabrr2 Gaba_1,#6d0097,
1830 PVHd-DMH Lhx6 Gaba_3,#89647b,
3665 LGv-SPFp-SPFm Nkx2-2 Tcf7l2 Gaba_6,#59578a,
1980 LGv-ZI Otx2 Gaba_4,#f98e8a,
2954 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut_3,#e6d67c,
2968 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut_5,#706b01,
3619 PRT Tcf7l2 Gaba_3,#1859ff,
3667 LGv-SPFp-SPFm Nkx2-2 Tcf7l2 Gaba_7,#1626ff,
2964 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut_4,#00d856,
1742 ZI Pax6 Gaba_4,#f7a1fd,
1717 ZI Pax6 Gaba_1,#79953b,
3438 SNr-VTA Pax5 Npas1 Gaba_1,#b1a7d4,
2959 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut_4,#7ecfdd,
1595 RT-ZI Gnb3 Gaba_4,#00caaf,
1784 ZI Pax6 Gaba_11,#79463b,
2975 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut_6,#daffe6,
1745 ZI Pax6 Gaba_4,#db05b1,
2914 PRC-PAG Tcf7l2 Irx2 Glut_2,#f2ddff,
1746 ZI Pax6 Gaba_4,#a3e46e,
1768 ZI Pax6 Gaba_8,#891323,
1831 PVHd-DMH Lhx6 Gaba_3,#666782,
2602 LH Pou4f1 Sox1 Glut_2,#e8fd70,
2960 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut_4,#d8aae8,
2756 MB-ant-ve Dmrta2 Glut_1,#dfbad4,
1759 ZI Pax6 Gaba_7,#fd5269,
2931 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut_1,#75ae9a,
2703 RE-Xi Nox4 Glut_4,#9733df,
3641 LGv-SPFp-SPFm Nkx2-2 Tcf7l2 Gaba_2,#e4727e,
1720 ZI Pax6 Gaba_1,#8c5926,
3664 LGv-SPFp-SPFm Nkx2-2 Tcf7l2 Gaba_6,#774669,
1736 ZI Pax6 Gaba_3,#2f3da8,
2934 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut_1,#2f3da8,
3639 LGv-SPFp-SPFm Nkx2-2 Tcf7l2 Gaba_1,#774669,
1734 ZI Pax6 Gaba_3,#8c5926,
3635 LGv-SPFp-SPFm Nkx2-2 Tcf7l2 Gaba_1,#e4727e,
1730 ZI Pax6 Gaba_3,#9733df,
1772 ZI Pax6 Gaba_8,#75ae9a,
3636 LGv-SPFp-SPFm Nkx2-2 Tcf7l2 Gaba_1,#fd5269,
2945 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut_2,#dfbad4,
2714 PF Fzd5 Glut_1,#d8aae8,
1820 PVHd-DMH Lhx6 Gaba_1,#e8fd70,
1781 ZI Pax6 Gaba_10,#666782,
2736 PRC-PAG Pax6 Glut_2,#891323,
1752 ZI Pax6 Gaba_6,#a3e46e,
2936 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut_1,#f2ddff,
2946 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut_3,#db05b1,
2603 LH Pou4f1 Sox1 Glut_2,#daffe6,
2905 PRC-PAG Tcf7l2 Irx2 Glut_1,#79463b,
2607 LH Pou4f1 Sox1 Glut_3,#00caaf,
2993 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut_8,#7ecfdd,
2950 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut_3,#b1a7d4,
3648 LGv-SPFp-SPFm Nkx2-2 Tcf7l2 Gaba_3,#79953b,
1833 PVHd-DMH Lhx6 Gaba_3,#f7a1fd,
1678 AHN-SBPV-PVHd Pdrm12 Gaba_7,#00d856,
1770 ZI Pax6 Gaba_8,#1626ff,
1626 PVHd-SBPV Six3 Prox1 Gaba_1,#1859ff,
3638 LGv-SPFp-SPFm Nkx2-2 Tcf7l2 Gaba_1,#706b01,
1786 ZI Pax6 Gaba_11,#e6d67c,
1979 LGv-ZI Otx2 Gaba_3,#f98e8a,
2994 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut_8,#59578a,
3654 LGv-SPFp-SPFm Nkx2-2 Tcf7l2 Gaba_4,#89647b,
2989 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut_8,#6d0097,
1599 RT-ZI Gnb3 Gaba_4,#a350a8,
2610 LH Pou4f1 Sox1 Glut_4,#a13b72,
2972 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut_5,#1ae6fd,
1725 ZI Pax6 Gaba_2,#bc93d1,
1682 AHN-SBPV-PVHd Pdrm12 Gaba_7,#6b8752,
1832 PVHd-DMH Lhx6 Gaba_3,#b88c79,
3621 PRT Tcf7l2 Gaba_3,#33574b,
1767 ZI Pax6 Gaba_8,#ffe8af,
3658 LGv-SPFp-SPFm Nkx2-2 Tcf7l2 Gaba_5,#ff2fa1,
1589 RT-ZI Gnb3 Gaba_2,#876eb1,
2979 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut_6,#bc7c00,
3004 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut_12,#d6a3b5,
2974 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut_6,#bf6026,
2666 TH Prkcd Grin2c Glut_7,#d6efa5,
2611 LH Pou4f1 Sox1 Glut_4,#ff4bed,
3646 LGv-SPFp-SPFm Nkx2-2 Tcf7l2 Gaba_2,#e2b391,
3606 PRT Tcf7l2 Gaba_1,#4b5dc6,
3653 LGv-SPFp-SPFm Nkx2-2 Tcf7l2 Gaba_4,#ffcfb5,
2981 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut_6,#794985,
3633 LGv-SPFp-SPFm Nkx2-2 Tcf7l2 Gaba_1,#b8496b,
2912 PRC-PAG Tcf7l2 Irx2 Glut_2,#e2412f,
1974 LGv-ZI Otx2 Gaba_1,#8e6d49,
3001 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut_10,#830075,
1829 PVHd-DMH Lhx6 Gaba_2,#9cf7db,
3649 LGv-SPFp-SPFm Nkx2-2 Tcf7l2 Gaba_3,#0ce8a1,
1733 ZI Pax6 Gaba_3,#799eaf,
1771 ZI Pax6 Gaba_8,#677eca,
1722 ZI Pax6 Gaba_1,#602441,
2978 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut_6,#774401,
2923 PRC-PAG Tcf7l2 Irx2 Glut_5,#f2dd00,
2842 APN C1ql2 Glut_1,#60ff62,
1754 ZI Pax6 Gaba_6,#e6af00,
1625 PVHd Gsc Gaba_1,#a76b9a,
2935 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut_1,#05aaeb,
2962 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut_4,#c8e6f2,
3603 PRT Tcf7l2 Gaba_1,#9c3190,
2852 APN C1ql4 Glut_1,#c879dd,
3618 PRT Tcf7l2 Gaba_3,#4b526b,
2922 PRC-PAG Tcf7l2 Irx2 Glut_5,#7249bc,
1988 LGv-ZI Otx2 Gaba_5,#5e3f28,
2904 PRC-PAG Tcf7l2 Irx2 Glut_1,#e4643b,
3384 ND-INC Foxd2 Glut_1,#2f5726,
2970 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut_5,#5b7c80,
1765 ZI Pax6 Gaba_7,#590f01,
1714 ZI Pax6 Gaba_1,#009789,
3655 LGv-SPFp-SPFm Nkx2-2 Tcf7l2 Gaba_4,#075e77,
2854 APN C1ql4 Glut_1,#af8c46,
2948 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut_3,#93d190,
3637 LGv-SPFp-SPFm Nkx2-2 Tcf7l2 Gaba_1,#69b582,
2951 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut_3,#a8ba4b,
1744 ZI Pax6 Gaba_4,#ac3b2f,
2990 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut_8,#e27ea3,
2780 IF-RL-CLI-PAG Foxa1 Glut_5,#382d00,
1641 PVHd-SBPV Six3 Prox1 Gaba_3,#b8b68a,
3000 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut_10,#e400e2,
1741 ZI Pax6 Gaba_4,#c16e72,
3661 LGv-SPFp-SPFm Nkx2-2 Tcf7l2 Gaba_5,#856de1,
1783 ZI Pax6 Gaba_11,#af5dd4,
1785 ZI Pax6 Gaba_11,#57502a,
2969 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut_5,#9e90af,
2647 CM-IAD-CL-PCN Sema5b Glut_5,#e65db1,
2889 MRN Pou3f1 C1ql4 Glut_1,#4f6993,
2926 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut_1,#90a1e9,
1594 RT-ZI Gnb3 Gaba_3,#a1c6ff,
1818 PVHd-DMH Lhx6 Gaba_1,#464800,
3647 LGv-SPFp-SPFm Nkx2-2 Tcf7l2 Gaba_3,#ffbc77,
1731 ZI Pax6 Gaba_3,#e9a3d4,
3644 LGv-SPFp-SPFm Nkx2-2 Tcf7l2 Gaba_2,#a300c3,
2708 MG-POL-SGN Nts Glut_2,#4687ff,
1680 AHN-SBPV-PVHd Pdrm12 Gaba_7,#4b8ea5,
2977 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut_6,#792d36,
1983 LGv-ZI Otx2 Gaba_4,#d6c3eb,
1679 AHN-SBPV-PVHd Pdrm12 Gaba_7,#4b6449,
1629 PVHd-SBPV Six3 Prox1 Gaba_1,#fb7cff,
2924 PRC-PAG Tcf7l2 Irx2 Glut_5,#d88e38,
1985 LGv-ZI Otx2 Gaba_5,#da546e,
1773 ZI Pax6 Gaba_8,#a5c4a8,
3353 PAG Tcf24 Glut_1,#75bc4f,
2594 MH Tac2 Glut_4,#6b05e8,
1982 LGv-ZI Otx2 Gaba_4,#c6e83d,
1987 LGv-ZI Otx2 Gaba_5,#c14100,
1737 ZI Pax6 Gaba_3,#337c3d,
1671 AHN-SBPV-PVHd Pdrm12 Gaba_5,#9e9e46,
2941 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut_2,#4fb5af,
1756 ZI Pax6 Gaba_6,#a15d6e,
2995 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut_9,#213400,
1778 ZI Pax6 Gaba_9,#802f59,
1973 LGv-ZI Otx2 Gaba_1,#ffd1e8,
2847 APN C1ql2 Glut_1,#ff803d,
2885 MRN Pou3f1 C1ql4 Glut_1,#b8005b,
1726 ZI Pax6 Gaba_2,#386e64,
1632 PVHd-SBPV Six3 Prox1 Gaba_1,#972a00,
1721 ZI Pax6 Gaba_1,#7cb8d3,
1977 LGv-ZI Otx2 Gaba_2,#004b33,
1727 ZI Pax6 Gaba_2,#5e3a80,
3005 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut_12,#3fa316,
2739 PRC-PAG Pax6 Glut_2,#ac93eb,
1972 LGv-ZI Otx2 Gaba_1,#0054c1,
2844 APN C1ql2 Glut_1,#93ffba,
1953 DMH Hmx2 Gaba_5,#727046,
2913 PRC-PAG Tcf7l2 Irx2 Glut_2,#799c7e,
1776 ZI Pax6 Gaba_9,#4400c4,
2927 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut_1,#cd85bc,
2971 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut_5,#00eb01,
2754 MB-ant-ve Dmrta2 Glut_1,#f2ffd1,
1816 PVHd-DMH Lhx6 Gaba_1,#afc6db,
2907 PRC-PAG Tcf7l2 Irx2 Glut_1,#995444,
2843 APN C1ql2 Glut_1,#60006e,
2982 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut_6,#d1b65b,
1738 ZI Pax6 Gaba_3,#cd7e57,
1716 ZI Pax6 Gaba_1,#97ddd4,
2841 APN C1ql2 Glut_1,#8987bf,
1981 LGv-ZI Otx2 Gaba_4,#628023,
1952 DMH Hmx2 Gaba_5,#008e64,
1814 PVHd-DMH Lhx6 Gaba_1,#216701,
3657 LGv-SPFp-SPFm Nkx2-2 Tcf7l2 Gaba_4,#c35dba,
3634 LGv-SPFp-SPFm Nkx2-2 Tcf7l2 Gaba_1,#ff9ab5,
2937 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut_1,#cd2846,
1675 AHN-SBPV-PVHd Pdrm12 Gaba_6,#c33489,
3740 SCs Dmbx1 Gaba_5,#6264fd,
1681 AHN-SBPV-PVHd Pdrm12 Gaba_7,#80708e,
3241 SCig-an-PPT Foxb1 Glut_1,#aa8297,
2998 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut_9,#00749c,
3470 IC Six3 En2 Gaba_1,#7b525b,
1800 DMH-LHA Gsx1 Gaba_2,#89003d,
1976 LGv-ZI Otx2 Gaba_1,#4dfdff,
1975 LGv-ZI Otx2 Gaba_1,#8201cf,
1757 ZI Pax6 Gaba_6,#ffcd44,
1631 PVHd-SBPV Six3 Prox1 Gaba_1,#7c5900,
2735 PRC-PAG Pax6 Glut_2,#4d230c,
3804 SCsg Gabrr2 Gaba_1,#5044a1,
